		Resource Identifier (ID)	Name	Acronym 	Long Description	Short Description	URL	Num Attributes	Num Datasets	Image
Resource Name	Dataset Name	Unique Num (Ex. 12)	Name of Resource (Ex. Comparative Toxicogenomics Database)	Short Name or Abbrev (CTD)	Detail information about the dataset	Summary of the dataset	URL of where dataset can be found (Ex. http://ctdbase.org/)	Number of Attributes	Number of Datasets	<dataset>.png
Achilles	Achilles Cell Line Gene Essentiality Profiles	1	Achilles	Null	The Cancer Target Discovery and Development Network is a cancer phenotyping project that seeks to identify novel cancer drug targets and novel biomarkers for diagnosis of cancer and prediction of drug response.  Libraries of small molecules, cDNA over-expression vectors, and siRNA knockdown vectors are used to perturb molecular signaling pathways in cancer cell lines, and cell fitness is assayed by measuring the rate of cell proliferation.  Achilles is a CTD2 project that performed shRNA-mediated gene knockdown followed by proliferation rate quantification to assess the essentiality of genes for cell proliferation in a panel of cell lines.	Project screening essentiality of genes in cancer cell lines by measuring proliferation rates following gene knockdowns	https://portals.broadinstitute.org/achilles	216	1	achiles.png
Allen Brain Atlas	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	2								
Allen Brain Atlas	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	3								
Allen Brain Atlas	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	4								
Allen Brain Atlas	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	5								
Allen Brain Atlas	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	6								
Biocarta	Biocarta Pathways	7								
BioGPS	BioGPS Cell Line Gene Expression Profiles	8								
BioGPS	BioGPS Human Cell Type and Tissue Gene Expression Profiles	9								
BioGPS	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	10								
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene CNV Profiles	11								
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene Expression Profiles	12								
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene Mutation Profiles	13								
ChIP-X Enrichment Analysis	CHEA Transcription Factor Binding Site Profiles	14								
ChIP-X Enrichment Analysis	CHEA Transcription Factor Targets	15								
ClinVar	ClinVar Gene-Phenotype Associations	16								
Connectivity Map	CMAP Signatures of Differentially Expressed Genes for Small Molecules	17								
COMPARTMENTS	COMPARTMENTS Curated Protein Localization Evidence Scores	18								
COMPARTMENTS	COMPARTMENTS Experimental Protein Localization Evidence Scores	19								
COMPARTMENTS	COMPARTMENTS Text-mining Protein Localization Evidence Scores	20								
CORUM	CORUM Protein Complexes	21								
Catalogue of Somatic Mutations In Cancer	COSMIC Cell Line Gene CNV Profiles	22								
Catalogue of Somatic Mutations In Cancer	COSMIC Cell Line Gene Mutation Profiles	23								
Comparative Toxicogenomics Database	CTD Gene-Chemical Interactions	24								
Comparative Toxicogenomics Database	CTD Gene-Disease Associations	25								
Database of Genotypes and Phenotypes	dbGAP Gene-Trait Associations	26								
Dephosphorylation Database	DEPOD Substrates of Phosphatases	27								
DISEASES	DISEASES Curated Gene-Disease Assocation Evidence Scores	28								
DISEASES	DISEASES Experimental Gene-Disease Assocation Evidence Scores	29								
DISEASES	DISEASES Text-mining Gene-Disease Assocation Evidence Scores	30								
DrugBank	DrugBank Drug Targets	31								
Encyclopedia of DNA Elements	ENCODE Histone Modification Site Profiles	32								
Encyclopedia of DNA Elements	ENCODE Transcription Factor Binding Site Profiles	33								
