Attribute	AttributeID
22RV1	22RV1_PROSTATE
697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
786O	786O_KIDNEY
A1207	A1207_CENTRAL_NERVOUS_SYSTEM
A172	A172_CENTRAL_NERVOUS_SYSTEM
A204	A204_SOFT_TISSUE
A2058	A2058_SKIN
A549	A549_LUNG
A673	A673_BONE
ACHN	ACHN_KIDNEY
AGS	AGS_STOMACH
AM38	AM38_CENTRAL_NERVOUS_SYSTEM
AML193	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ASPC1	ASPC1_PANCREAS
BT20	BT20_BREAST
BT474	BT474_BREAST
BXPC3	BXPC3_PANCREAS
C2BBE1	C2BBE1_LARGE_INTESTINE
C32	C32_SKIN
CADOES1	CADOES1_BONE
CAL120	CAL120_BREAST
CAL51	CAL51_BREAST
CALU1	CALU1_LUNG
CAOV3	CAOV3_OVARY
CAOV4	CAOV4_OVARY
CAS1	CAS1_CENTRAL_NERVOUS_SYSTEM
CFPAC1	CFPAC1_PANCREAS
CH157MN	CH157MN_CENTRAL_NERVOUS_SYSTEM
COLO205	COLO205_LARGE_INTESTINE
COLO704	COLO704_OVARY
COLO741	COLO741_SKIN
COLO783	COLO783_SKIN
CORL23	CORL23_LUNG
COV362	COV362_OVARY
COV434	COV434_OVARY
COV504	COV504_OVARY
COV644	COV644_OVARY
DBTRG05MG	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
DKMG	DKMG_CENTRAL_NERVOUS_SYSTEM
DLD1	DLD1_LARGE_INTESTINE
EFE184	EFE184_ENDOMETRIUM
EFM19	EFM19_BREAST
EFO21	EFO21_OVARY
EFO27	EFO27_OVARY
EW8	EW8_BONE
EWS502	EWS502_BONE
F36P	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GB1	GB1_CENTRAL_NERVOUS_SYSTEM
GP2D	GP2D_LARGE_INTESTINE
HCC1187	HCC1187_BREAST
HCC1395	HCC1395_BREAST
HCC1954	HCC1954_BREAST
HCC2218	HCC2218_BREAST
HCC2814	HCC2814_LUNG
HCC364	HCC364_LUNG
HCC44	HCC44_LUNG
HCC70	HCC70_BREAST
HCC827	HCC827_LUNG
HCC827GR5	HCC827GR5_LUNG
HCT116	HCT116_LARGE_INTESTINE
HEC1A	HEC1A_ENDOMETRIUM
HEYA8	HEYA8_OVARY
HL60	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HLF	HLF_LIVER
HNT34	HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HPAC	HPAC_PANCREAS
HPAFII	HPAFII_PANCREAS
HS683	HS683_CENTRAL_NERVOUS_SYSTEM
HS766T	HS766T_PANCREAS
HS944T	HS944T_SKIN
HT1197	HT1197_URINARY_TRACT
HT29	HT29_LARGE_INTESTINE
HT55	HT55_LARGE_INTESTINE
HUG1N	HUG1N_STOMACH
HUTU80	HUTU80_SMALL_INTESTINE
IGR39	IGR39_SKIN
IGROV1	IGROV1_OVARY
IOMMLEE	IOMMLEE_CENTRAL_NERVOUS_SYSTEM
JHESOAD1	JHESOAD1_OESOPHAGUS
JHOC5	JHOC5_OVARY
JHOM1	JHOM1_OVARY
JJN3	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
K562	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KALS1	KALS1_CENTRAL_NERVOUS_SYSTEM
