Dataset Identifier (ID)	Name	Name_Without_Resource	Description	Association	Gene_Set_Description	Gene_Sets_Description	Attribute_Set_Description	Positive Association	Negative Association	Is_Signed	Is_Continuous_Valued	Last_Updated	Directory	Num_Page_Views	Resouce_fk	Measurement_fk	Dataset_Group_Fk	Attribute_Type_fk	Attribute_Group_fk	Evidence_Type	Evidence_Group	Measurement Bias	Attribute_Type_Plural
Unique Num (Ex. 12)	Resouce Name	Dataset Name	Description of Dataset									Year-Month-Day			Resource Identifier Dataset is Associated 		Dataset Group Dataset is Associated	Attribute Type Dataset is Associated	Attribute Group Dataset is Associated				
1	Achilles Cell Line Gene Essentiality Profiles	Cell Line Gene Essentiality Profiles	fitness scores for cell lines following single gene knockdowns	gene-cell line associations by sensitivity of cell line to gene knockdown	gene knockdowns changing fitness of {0} relative to other cell lines from the Achilles Cell Line Gene Essentiality Profiles dataset.	sets of gene knockdowns changing fitness of each cell line relative to other cell lines from the Achilles Cell Line Gene Essentiality Profiles dataset.	cell lines with fitness changed by {0} gene knockdown relative to other cell lines from the Achilles Cell Line Gene Essentiality Profiles dataset.	increased fitness	decreased fitness	1	1	2022-06-10	achilles	14032	1	27	1	1	1	relative cell proliferation	primary experimental data	high throughput, data driven	cell lines
2	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	Adult Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 6 adult human brain tissue samples spanning ~300 brain structures	gene-tissue associations by differential expression of gene across tissues	genes with high or low expression in {0} relative to other tissues from the Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue relative to other tissues from the Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles dataset.	tissues with high or low expression of {0} gene relative to other tissues from the Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		brainatlasadulthuman	21105	2	14	7	4	1	gene expression by microarray	primary experimental data	high throughput, data driven	tissues
3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	Adult Mouse Brain Tissue Gene Expression Profiles	mRNA expression profiles for adult mouse brain tissues spanning ~2000 anatomically defined brain structures	gene-tissue associations by differential expression of gene across tissues	genes with high or low expression in {0} relative to other tissues from the Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue relative to other tissues from the Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles dataset.	tissues with high or low expression of {0} gene relative to other tissues from the Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		brainatlasadultmouse	9852	2	12	7	4	1	gene expression by in situ hybridization	primary experimental data	high throughput, data driven	tissues
4	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	Developing Human Brain Tissue Gene Expression Profiles by Microarray	mRNA expression profiles for human brain tissue samples spanning 27 time points and 26 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	genes with high or low expression in {0} relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray dataset.	sets of genes with high or low expression in each tissue sample relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray dataset.	tissue samples with high or low expression of {0} gene relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray dataset.	high expression	low expression	1	1		brainatlasdevelopmentalhumanmicroarray	4839	2	14	7	5	1	gene expression by microarray	primary experimental data	high throughput, data driven	tissue samples
5	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	mRNA expression profiles for human brain tissue samples spanning 31 time points and 26 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	genes with high or low expression in {0} relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq dataset.	sets of genes with high or low expression in each tissue sample relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq dataset.	tissue samples with high or low expression of {0} gene relative to other tissue samples from the Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq dataset.	high expression	low expression	1	1		brainatlasdevelopmentalhumanrnaseq	3872	2	16	7	5	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissue samples
6	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	Prenatal Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 4 human prenatal brain tissue samples spanning 4 time points and ~300 brain structures	gene-tissue associations by differential expression of gene across tissues	genes with high or low expression in {0} relative to other tissues from the Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue relative to other tissues from the Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles dataset.	tissues with high or low expression of {0} gene relative to other tissues from the Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		brainatlasprenatalhuman	5685	2	14	7	4	1	gene expression by microarray	primary experimental data	high throughput, data driven	tissues
8	Biocarta Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the Biocarta Pathways dataset.	sets of proteins participating in pathways from the Biocarta Pathways dataset.	pathways involving {0} protein from the Biocarta Pathways dataset.			0	0		biocarta	35898	3	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
9	BioGPS Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for the NCI-60 panel of cancer cell lines	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the BioGPS Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the BioGPS Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the BioGPS Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		biogpsnci60	26751	4	14	7	1	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell lines
10	BioGPS Human Cell Type and Tissue Gene Expression Profiles	Human Cell Type and Tissue Gene Expression Profiles	mRNA expression profiles for human tissues and cell types	gene-cell type or tissue associations by differential expression of gene across cell types and tissues	genes with high or low expression in {0} relative to other cell types and tissues from the BioGPS Human Cell Type and Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell type or tissue relative to other cell types and tissues from the BioGPS Human Cell Type and Tissue Gene Expression Profiles dataset.	cell types and tissues with high or low expression of {0} gene relative to other cell types and tissues from the BioGPS Human Cell Type and Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		biogpshuman	12126	4	14	7	3	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell types and tissues
